config,seed,seconds,train_acc,val_acc,best_val_acc,epochs_run,nan_loss,test_acc
F- log skewed,2,48.1,0.8833749890327454,0.8452500104904175,0.8489999771118164,100,False,0.8472666666666666
F- one-hot,0,48.1,0.851187527179718,0.84375,0.8464999794960022,100,False,0.8414666666666667
F- one-hot,1,48.2,0.851437509059906,0.8399999737739563,0.843999981880188,100,False,0.8395666666666667
F- one-hot,2,47.4,0.8553749918937683,0.8355000019073486,0.8412500023841858,100,False,0.8373666666666667
F- median & missing flags,0,48.3,0.895187497138977,0.8582500219345093,0.8610000014305115,100,False,0.8546666666666667
F- median & missing flags,1,48.3,0.8906875252723694,0.8579999804496765,0.8604999780654907,100,False,0.8555666666666667
F- 100 epochs,0,5.8,0.859000027179718,0.8604999780654907,0.8644999861717224,10,False,0.8622
F- median & missing flags,2,47.1,0.8974375128746033,0.8554999828338623,0.8587499856948853,100,False,0.8556666666666667
F- 100 epochs,1,6.5,0.8566874861717224,0.8615000247955322,0.8615000247955322,10,False,0.8637
F- chargeback -1 flag,0,48.0,0.8844375014305115,0.8475000262260437,0.8512499928474426,100,False,0.8511333333333333
F- 100 epochs,2,5.8,0.8611249923706055,0.859749972820282,0.859749972820282,10,False,0.8652666666666666
F- adam,0,36.1,0.8668749928474426,0.8640000224113464,0.8669999837875366,100,False,0.8675
F- adam,1,34.8,0.8665000200271606,0.8602499961853027,0.8632500171661377,100,False,0.8674
F- adam,2,34.7,0.867062509059906,0.8629999756813049,0.8629999756813049,100,False,0.8689666666666667
F- chargeback -1 flag,2,42.2,0.8895624876022339,0.847000002861023,0.8514999747276306,100,False,0.8501
F- chargeback -1 flag,1,42.5,0.887624979019165,0.8502500057220459,0.8519999980926514,100,False,0.8532333333333333
F- 2x128 network,0,31.1,0.7201874852180481,0.7835000157356262,0.7872499823570251,100,False,0.7873666666666667
F- 2x128 network,1,30.8,0.7288125157356262,0.7914999723434448,0.793749988079071,100,False,0.7993666666666667
F- 2x128 network,2,31.3,0.7280625104904175,0.784250020980835,0.7867500185966492,100,False,0.7884
F- dropout 0.3,0,29.8,0.9708750247955322,0.8544999957084656,0.8575000166893005,100,False,0.8593333333333333
F- dropout 0.3,1,31.6,0.976687490940094,0.8495000004768372,0.8572499752044678,100,False,0.857
F- dropout 0.3,2,31.1,0.9708124995231628,0.8512499928474426,0.859000027179718,100,False,0.8582666666666666
F- drop noise cols,0,36.3,0.8999999761581421,0.862500011920929,0.8654999732971191,100,False,0.8684333333333333
F- drop noise cols,1,37.2,0.9006875157356262,0.8627499938011169,0.8650000095367432,100,False,0.8676333333333334
F- drop noise cols,2,41.9,0.898562490940094,0.859250009059906,0.8652499914169312,100,False,0.8672
F- amount vs usual,0,42.3,0.9008749723434448,0.8567500114440918,0.8640000224113464,100,False,0.8653333333333333
F- amount vs usual,1,41.8,0.898812472820282,0.859250009059906,0.8632500171661377,100,False,0.8664333333333334
F- amount vs usual,2,44.7,0.9083124995231628,0.8622499704360962,0.8629999756813049,100,False,0.8625
F- hour sin/cos,0,44.9,0.8950625061988831,0.8640000224113464,0.8659999966621399,100,False,0.8670333333333333
F- hour sin/cos,1,45.8,0.8973125219345093,0.8692499995231628,0.8700000047683716,100,False,0.8651666666666666
F- hour sin/cos,2,45.6,0.8938124775886536,0.8647500276565552,0.8662499785423279,100,False,0.8686333333333334
F- round amounts,0,45.9,0.8810625076293945,0.8522499799728394,0.8557500243186951,100,False,0.8543666666666667
F- reduce lr,0,45.2,0.9104375243186951,0.8552500009536743,0.8682500123977661,100,False,0.8581
F- round amounts,1,46.2,0.8812500238418579,0.8525000214576721,0.8567500114440918,100,False,0.8543333333333333
F- round amounts,2,45.7,0.8856874704360962,0.8504999876022339,0.8544999957084656,100,False,0.8564333333333334
F- reduce lr,1,42.5,0.909250020980835,0.8537499904632568,0.8654999732971191,100,False,0.8580333333333333
M08 +2x128 network,0,3.6,0.8850625157356262,0.8227499723434448,0.8337500095367432,10,False,0.8227333333333333
F- reduce lr,2,40.3,0.9126250147819519,0.8504999876022339,0.8629999756813049,100,False,0.8596333333333334
F- one-hot->codes,0,40.2,0.8790624737739563,0.8629999756813049,0.8650000095367432,100,False,0.8591666666666666
M08 +2x128 network,1,3.7,0.8884375095367432,0.8224999904632568,0.8274999856948853,10,False,0.8266333333333333
M08 +2x128 network,2,3.7,0.883062481880188,0.8224999904632568,0.8274999856948853,10,False,0.8264333333333334
F- one-hot->codes,1,38.4,0.879812479019165,0.8510000109672546,0.8557500243186951,100,False,0.8595666666666667
F- one-hot->codes,2,38.0,0.8808749914169312,0.856249988079071,0.859749972820282,100,False,0.8579333333333333
F- network & dropout,1,29.4,0.8271874785423279,0.8072500228881836,0.8102499842643738,100,False,0.8230666666666666
F- network & dropout,0,29.7,0.8296874761581421,0.8382499814033508,0.8385000228881836,100,False,0.8273333333333334
F- network & dropout,2,29.5,0.8255624771118164,0.8130000233650208,0.815750002861023,100,False,0.8215666666666667
R dropout 0.3,0,39.2,0.8942499756813049,0.8314999938011169,0.843999981880188,100,False,0.8369333333333333
R dropout 0.3,1,39.0,0.893750011920929,0.8402500152587891,0.8477500081062317,100,False,0.8398666666666667
R dropout 0.3,2,39.2,0.8925625085830688,0.8385000228881836,0.8500000238418579,100,False,0.8385333333333334
R dropout 0.5,0,39.5,0.8610000014305115,0.8399999737739563,0.8502500057220459,100,False,0.8439666666666666
R dropout 0.5,1,39.1,0.8573125004768372,0.8464999794960022,0.8497499823570251,100,False,0.8461666666666666
R l2 1e-4,1,35.5,0.9983124732971191,0.8059999942779541,0.8360000252723694,100,False,0.808
R l2 1e-4,0,36.0,0.9934999942779541,0.8059999942779541,0.8342499732971191,100,False,0.8036666666666666
R dropout 0.5,2,38.0,0.8572499752044678,0.8507500290870667,0.8507500290870667,100,False,0.8464333333333334
R early stop,0,5.2,0.9459375143051147,0.815750002861023,0.8337500095367432,23,False,0.8252666666666667
R early stop,1,4.7,0.9432500004768372,0.8199999928474426,0.8274999856948853,21,False,0.8246333333333333
R l2 1e-4,2,22.1,0.9796249866485596,0.8069999814033508,0.8355000019073486,100,False,0.8106333333333333
R l2 1e-3,0,22.3,0.9375,0.8147500157356262,0.8432499766349792,100,False,0.8176
R early stop,2,5.9,0.9578750133514404,0.8245000243186951,0.8305000066757202,26,False,0.8295
R l2 1e-3,1,22.2,0.9383749961853027,0.8165000081062317,0.8422499895095825,100,False,0.8166666666666667
R l2 1e-3,2,21.3,0.9426249861717224,0.815500020980835,0.8432499766349792,100,False,0.8149666666666666
R l1 1e-4,0,21.6,0.9718124866485596,0.8057500123977661,0.8445000052452087,100,False,0.812
R l1 1e-4,2,21.9,0.9785000085830688,0.8197500109672546,0.840749979019165,100,False,0.8131333333333334
R l1 1e-4,1,23.3,0.973312497138977,0.809499979019165,0.8397499918937683,100,False,0.8112666666666667
R dropout+l2+early,0,12.9,0.8643125295639038,0.8445000052452087,0.8495000004768372,33,False,0.8430666666666666
R dropout+early,1,16.2,0.8705624938011169,0.8392500281333923,0.8462499976158142,44,False,0.8483
R dropout+early,2,17.4,0.8730624914169312,0.840499997138977,0.8500000238418579,45,False,0.8448333333333333
R dropout+early,0,19.9,0.8770624995231628,0.8337500095367432,0.843999981880188,55,False,0.8434
R dropout+l2+early,1,15.8,0.8687499761581421,0.8442500233650208,0.8504999876022339,42,False,0.8480333333333333
R drop noise,0,28.5,0.996874988079071,0.8029999732971191,0.8392500281333923,100,False,0.8160333333333334
R dropout+l2+early,2,11.6,0.8669999837875366,0.8417500257492065,0.8507500290870667,36,False,0.844
R drop noise,2,28.7,0.995187520980835,0.8087499737739563,0.8420000076293945,100,False,0.8118666666666666
R drop noise,1,29.3,0.9962499737739563,0.8107500076293945,0.8337500095367432,100,False,0.8094
N dropout on small net,0,28.4,0.7103750109672546,0.7672500014305115,0.7674999833106995,100,False,0.7659
N dropout on small net,2,28.0,0.7046874761581421,0.768750011920929,0.7692499756813049,100,False,0.7656333333333334
N dropout on small net,1,29.4,0.7098125219345093,0.7714999914169312,0.7749999761581421,100,False,0.7697666666666667
N sigmoid act,0,41.5,0.8769375085830688,0.8654999732971191,0.8675000071525574,100,False,0.8684666666666667
N sigmoid act,1,42.2,0.8785625100135803,0.8657500147819519,0.8682500123977661,100,False,0.8686
N batchnorm,0,50.7,0.8793749809265137,0.8705000281333923,0.8705000281333923,100,False,0.8690666666666667
N batch 256,0,12.3,0.8896874785423279,0.8694999814033508,0.8702499866485596,100,False,0.8709333333333333
N batch 256,1,12.6,0.8900625109672546,0.8627499938011169,0.8657500147819519,100,False,0.8699666666666667
N batchnorm,1,58.1,0.8828750252723694,0.8634999990463257,0.8667500019073486,100,False,0.8704
N batchnorm,2,59.8,0.8809999823570251,0.8600000143051147,0.8662499785423279,100,False,0.8684666666666667
N batch 256,2,12.2,0.8938124775886536,0.8659999966621399,0.8679999709129333,100,False,0.8714333333333333
N sigmoid act,2,54.4,0.8766875267028809,0.8654999732971191,0.8700000047683716,100,False,0.8673
N early stop,1,24.3,0.895187497138977,0.8627499938011169,0.8675000071525574,40,False,0.868
N early stop,0,25.0,0.8945624828338623,0.8659999966621399,0.8682500123977661,41,False,0.8692
N early stop,2,24.2,0.8946874737739563,0.8577499985694885,0.8634999990463257,40,False,0.8694666666666667
S adam,0,5.3,0.6266875267028809,0.6240000128746033,0.6312500238418579,10,False,0.6267666666666667
S adam,1,5.2,0.6198124885559082,0.6257500052452087,0.6299999952316284,10,False,0.6328333333333334
S adam,2,4.8,0.6185625195503235,0.625,0.625,10,False,0.6236
N 5 layers,0,72.4,0.8936874866485596,0.8629999756813049,0.8644999861717224,100,False,0.8678333333333333
N 5 layers,1,73.1,0.8968124985694885,0.8575000166893005,0.8640000224113464,100,False,0.8659
S adam 1x16,0,4.9,0.621999979019165,0.6002500057220459,0.6299999952316284,10,False,0.6006666666666667
S adam 1x16,1,5.1,0.6263750195503235,0.6212499737739563,0.6317499876022339,10,False,0.6296666666666667
S sgd lr1e-3,0,3.2,0.5601249933242798,0.5917500257492065,0.5917500257492065,10,False,0.5819
S adam 1x16,2,4.5,0.6178125143051147,0.6330000162124634,0.6330000162124634,10,False,0.6268666666666667
S sgd lr1e-3,1,3.3,0.5824999809265137,0.5862500071525574,0.6072499752044678,10,False,0.5862666666666667
S sgd lr1e-3,2,3.0,0.499812513589859,0.5202500224113464,0.5202500224113464,10,False,0.5074666666666666
S adam +scale,0,3.4,0.629562497138977,0.6259999871253967,0.6259999871253967,10,False,0.6281666666666667
S adam +scale,1,3.5,0.6463124752044678,0.6417499780654907,0.6417499780654907,10,False,0.6436666666666667
S adam +scale,2,3.5,0.6341249942779541,0.6340000033378601,0.6340000033378601,10,False,0.6350333333333333
S adam +card age,0,3.7,0.6043124794960022,0.6167500019073486,0.6215000152587891,10,False,0.6162666666666666
S adam +card age,1,3.7,0.6029375195503235,0.5920000076293945,0.6332499980926514,10,False,0.5888
S adam +card age,2,4.0,0.6130625009536743,0.6297500133514404,0.6297500133514404,10,False,0.6286333333333334
S adam -txn count,0,3.8,0.6050624847412109,0.6067500114440918,0.6072499752044678,10,False,0.6126333333333334
S adam -txn count,1,4.1,0.601312518119812,0.5952500104904175,0.6052500009536743,10,False,0.6088666666666667
S adam -txn count,2,4.1,0.5964999794960022,0.596750020980835,0.5979999899864197,10,False,0.6012333333333333
S adam +card age -txn count,0,3.8,0.5814999938011169,0.5849999785423279,0.5874999761581421,10,False,0.5892333333333334
S adam +card age -txn count,1,3.8,0.5795624852180481,0.5652499794960022,0.6077499985694885,10,False,0.5706
N 5 layers,2,68.7,0.8978124856948853,0.859000027179718,0.8637499809265137,100,False,0.8645666666666667
S adam +card age -txn count,2,4.1,0.573437511920929,0.5814999938011169,0.6002500057220459,10,False,0.5900333333333333
N l1 1e-4,0,46.7,0.8973125219345093,0.8692499995231628,0.8722500205039978,100,False,0.8726333333333334
N l1 1e-4,1,43.3,0.9028750061988831,0.8690000176429749,0.8725000023841858,100,False,0.8726666666666667
N l1 1e-4,2,39.1,0.9013124704360962,0.8672500252723694,0.8707500100135803,100,False,0.8727333333333334
T 3-seed average,1,64.8,0.8961250185966492,0.8640000224113464,0.8675000071525574,100,False,0.8716333333333334
T 3-seed average,2,64.7,0.9011874794960022,0.8585000038146973,0.8634999990463257,100,False,0.8736333333333334
T 3-seed average,0,65.9,0.8916249871253967,0.8640000224113464,0.8682500123977661,100,False,0.8726
