config,seed,seconds,train_acc,val_acc,best_val_acc,epochs_run,nan_loss,test_acc
L02 +log skewed,0,11.8,0.6961249709129333,0.6959999799728394,0.6959999799728394,10,False,0.7029666666666666
L00 starter,1,11.8,0.5022500157356262,0.5024999976158142,0.5024999976158142,10,False,0.4958666666666667
L01 +scale,2,11.8,0.6922500133514404,0.6869999766349792,0.6890000104904175,10,False,0.6882333333333334
L02 +log skewed,1,11.8,0.7071250081062317,0.7200000286102295,0.7225000262260437,10,False,0.7200333333333333
L00 starter,2,11.9,0.5022500157356262,0.5024999976158142,0.5024999976158142,10,False,0.4958666666666667
L01 +scale,1,11.9,0.6928750276565552,0.6915000081062317,0.6974999904632568,10,False,0.697
L00 starter,0,12.0,0.5022500157356262,0.5024999976158142,0.5024999976158142,10,False,0.4958666666666667
L01 +scale,0,12.0,0.687749981880188,0.6834999918937683,0.6840000152587891,10,False,0.6852
L02 +log skewed,2,11.7,0.6946250200271606,0.7070000171661377,0.7070000171661377,10,False,0.7022333333333334
L03 +one-hot,0,11.8,0.828000009059906,0.8215000033378601,0.8215000033378601,10,False,0.8348
L04 +median & missing flags,0,11.8,0.8247500061988831,0.8314999938011169,0.8345000147819519,10,False,0.8399333333333333
L03 +one-hot,2,11.8,0.8062499761581421,0.7994999885559082,0.7994999885559082,10,False,0.8188
L03 +one-hot,1,11.8,0.8193749785423279,0.8169999718666077,0.8169999718666077,10,False,0.8307
L04 +median & missing flags,1,11.7,0.8339999914169312,0.8335000276565552,0.8339999914169312,10,False,0.8384666666666667
L04 +median & missing flags,2,11.8,0.8267499804496765,0.824999988079071,0.824999988079071,10,False,0.8345666666666667
L05 +chargeback -1 flag,0,11.9,0.8541250228881836,0.8464999794960022,0.8464999794960022,10,False,0.8575666666666667
L05 +chargeback -1 flag,1,12.8,0.8416249752044678,0.8335000276565552,0.8335000276565552,10,False,0.8452666666666667
L05 +chargeback -1 flag,2,12.8,0.8503749966621399,0.8414999842643738,0.8414999842643738,10,False,0.8540333333333333
L06 +adam,1,14.1,0.862500011920929,0.8544999957084656,0.8544999957084656,10,False,0.8661666666666666
L06 +adam,0,14.3,0.8656250238418579,0.8554999828338623,0.8565000295639038,10,False,0.867
L06 +adam,2,14.4,0.8653749823570251,0.8604999780654907,0.8604999780654907,10,False,0.8665666666666667
L07 +100 epochs,0,109.3,0.8807500004768372,0.8615000247955322,0.8634999990463257,100,False,0.8775
L07 +100 epochs,2,109.5,0.8833749890327454,0.8684999942779541,0.8694999814033508,100,False,0.8792333333333333
L07 +100 epochs,1,109.9,0.8741250038146973,0.8565000295639038,0.8604999780654907,100,False,0.8671
L08 +2x128 network,0,130.0,1.0,0.8554999828338623,0.8619999885559082,100,False,0.8694
L08 +2x128 network,1,130.6,0.9831249713897705,0.8410000205039978,0.8644999861717224,100,False,0.8623
L08 +2x128 network,2,130.1,1.0,0.8529999852180481,0.8650000095367432,100,False,0.8681
L09 +dropout 0.3,0,157.1,0.9574999809265137,0.8715000152587891,0.8740000128746033,100,False,0.8801666666666667
L09 +dropout 0.3,1,157.3,0.9611250162124634,0.8679999709129333,0.878000020980835,100,False,0.8815333333333333
L09 +dropout 0.3,2,170.0,0.9566249847412109,0.8610000014305115,0.8725000023841858,100,False,0.8813666666666666
L10 +drop noise cols,0,170.1,0.9507499933242798,0.8705000281333923,0.8784999847412109,100,False,0.8846
L10 +drop noise cols,1,170.2,0.9546250104904175,0.8705000281333923,0.8790000081062317,100,False,0.8830333333333333
L10 +drop noise cols,2,171.7,0.9511250257492065,0.8665000200271606,0.8815000057220459,100,False,0.8816
L11 +amount vs usual,0,173.7,0.9545000195503235,0.8784999847412109,0.8849999904632568,100,False,0.8873333333333333
L11 +amount vs usual,1,172.9,0.956375002861023,0.8654999732971191,0.8880000114440918,100,False,0.8855666666666666
